Code,cycles,P25_min,P50_min,P75_min
002661.SZ,7,25227.698666666667,31574.667,49671.80825
002662.SZ,31,2900.378408333333,7202.2845,22911.410666666667
002663.SZ,54,1449.8022083333333,4871.697591666667,9713.827920833333
002664.SZ,19,6481.522241666667,17271.880666666668,23060.637916666667
002665.SZ,17,1440.2881666666667,2878.3276666666666,5709.330516666667
002666.SZ,6,3596.0004708333336,8621.784408333333,13680.613483333333
002667.SZ,48,2873.2272916666666,7195.774075,11522.244166666667
002668.SZ,6,42526.274375,59761.36433333333,68366.01630416667
002669.SZ,19,4366.374408333333,8626.907833333333,33002.50825833333
002670.SZ,14,10088.473320833335,29514.88491666667,37400.112575
002671.SZ,31,6463.652266666667,10171.387666666667,17286.358675000003
002672.SZ,4,1421.0817958333332,5032.415083333333,21606.942708333332
002673.SZ,3,55424.27491666666,80611.90968333333,170623.263175
002674.SZ,15,4316.39875,10071.770833333334,32304.98309166667
002675.SZ,19,6419.531766666667,17358.4905,41599.91925
002676.SZ,27,4319.644416666666,11520.028833333334,18706.704675
002677.SZ,2,31729.652779166663,57623.32024166667,83516.98770416666
002678.SZ,3,30968.052499999998,41750.388,61191.00233333334
002679.SZ,30,7550.137466666667,11520.17425,21047.099
002681.SZ,26,5759.867295833334,12963.374241666666,24475.7322625
002682.SZ,54,2683.675083333333,5751.128825,10077.219266666667
002683.SZ,6,35327.193783333336,50547.96759166667,126933.4927375
002685.SZ,16,2602.293429166667,5769.503333333334,13690.7937375
002686.SZ,19,4323.753325,15818.985333333334,34512.87325833333
002687.SZ,12,2517.7191208333334,5016.756408333334,16556.476791666668
002688.SZ,18,2839.0312125,10931.891008333332,26642.602304166667
002689.SZ,8,1442.0000833333334,3469.777575,10794.814416666666
002691.SZ,20,6483.657929166667,8639.149433333332,14385.112970833334
002692.SZ,25,2879.401316666667,7141.695,31678.97318333333
002693.SZ,24,2878.6261291666665,5769.592091666666,10389.186625
002695.SZ,9,4312.3465,25866.270833333332,35752.467
002696.SZ,4,10078.383291666667,15119.0875,20825.285416666666
002697.SZ,1,33316.26985,33316.26985,33316.26985
002698.SZ,16,4244.90275,21454.288425,45414.628875
002699.SZ,24,1449.6153458333333,3579.7545083333334,6117.843666666667
002700.SZ,23,2870.215075,5682.337316666667,7959.147999999999
002701.SZ,2,5204.469,5858.808999999999,6513.148999999999
002702.SZ,17,4296.324666666666,8639.098983333333,20168.433166666666
002703.SZ,30,8658.214529166667,11520.781908333334,20883.443137500002
002705.SZ,9,10010.006,24474.8955,82049.8445
002706.SZ,9,31647.250166666665,51860.45416666667,60639.226683333334
002707.SZ,10,18284.788666666667,45358.026008333334,69815.170625
002708.SZ,31,6476.525258333333,10267.706333333334,16563.318175
002709.SZ,35,4953.923508333333,8641.119183333334,19972.886241666667
002712.SZ,34,3232.9424583333334,5761.242508333333,11161.527987500001
002713.SZ,2,1408.2098,1498.0350833333332,1587.8603666666666
002714.SZ,8,12126.7155,16667.131841666665,65416.34492083333
002715.SZ,12,2542.440179166667,5760.018674999999,10062.959458333333
002716.SZ,24,8281.288125000001,17267.86075,26605.0372375
002717.SZ,83,1441.7849166666665,4319.571816666667,7914.194074999999
002718.SZ,26,5742.700041666667,10082.783825,21242.1925
002719.SZ,49,2881.21685,7202.38485,12986.163166666667
002721.SZ,65,1415.7425166666667,4110.563166666667,5692.6354833333335
002722.SZ,19,6493.207899999999,10070.583983333334,22312.65075
002723.SZ,9,11532.319316666666,31675.396833333332,40054.908833333335
002724.SZ,19,5070.8595000000005,14409.5665,30947.15340833333
002725.SZ,32,2875.060375,8634.292166666666,19436.150045833332
002726.SZ,13,24428.825816666667,34545.82483333333,57325.484183333334
002727.SZ,5,4067.8865,5754.894,21596.79065
002728.SZ,8,1087.9099708333333,3601.3675833333336,18722.1342875
002729.SZ,43,1438.6416666666667,5759.039983333333,17282.782916666667
002730.SZ,16,9497.160870833333,29529.436091666666,37456.31333333333
002731.SZ,5,8606.683166666666,11547.2335,12932.816666666668
002732.SZ,8,2326.6496666666667,2822.939316666667,16201.841154166666
002733.SZ,8,12910.645920833333,18003.348666666665,27355.515920833335
002734.SZ,18,4681.1409875,22950.74274166667,30222.936375
002736.SZ,1,335299.16135,335299.16135,335299.16135
002737.SZ,3,10814.972916666666,20185.342983333332,22331.49656666667
002738.SZ,15,10790.396233333333,21557.44335,40429.210158333335
002739.SZ,2,24934.337279166666,41014.72640833333,57095.115537499994
002741.SZ,7,5621.18375,8618.399,15846.163833333332
002742.SZ,52,1450.2462208333332,5742.8586,8637.410708333333
002743.SZ,10,10079.048741666667,18674.366491666668,28814.735662500003
002745.SZ,6,14673.315620833333,39487.833908333334,62318.719208333336
002746.SZ,1,5490.849666666667,5490.849666666667,5490.849666666667
002747.SZ,15,12226.258249999999,23058.836166666668,44640.008925
002748.SZ,58,2647.6641666666665,7188.448341666666,12580.736170833334
002749.SZ,2,6.45265,10.503816666666665,14.554983333333332
002750.SZ,85,1438.32965,4286.4918333333335,7198.663
002752.SZ,4,34090.26970416667,46815.457575,85129.1222375
002753.SZ,7,5635.625,8661.9125,14402.708408333334
002755.SZ,8,8975.2315125,19419.105,21672.941958333333
002756.SZ,6,11852.235375,14369.863166666666,15833.553833333333
002757.SZ,4,6838.874791666666,18003.538675,38165.31459583333
002758.SZ,10,9337.841675,20161.024333333335,50332.06075
002759.SZ,27,7155.541833333333,12958.763183333333,24494.3595
002760.SZ,6,1437.4589041666666,2159.9145916666666,7198.921016666667
002761.SZ,8,2876.4750791666665,7794.9025,23777.877345833334
002762.SZ,44,2881.7491083333334,7937.08925,15837.420204166667
002763.SZ,11,1440.432675,14389.80135,20148.775991666666
002765.SZ,9,8656.839683333334,12936.985666666667,18416.425666666666
002766.SZ,26,6084.180375,13678.611583333333,27321.577983333336
002767.SZ,34,4308.868916666667,8638.374749999999,20164.982829166667
